sent0	sent1	hard_neg
which record producer was the daughter of <e>	ns:people.person.children ?x .	ns:common.topic.description ?x .
what college did <e>?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.parents ?y .?y ns:people.person.gender ?x .
who was <e> when flight from death was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_for ?y .?y ns:common.notable_for.display_name ?x .
what character did Anna Kendrick play in Twilight?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.film_series ?y .?y ns:media_common.adaptation.adapted_from ?x .
who was <e> second wife?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.children ?y .?y ns:people.person.date_of_birth ?x .
which female person was the daughter of <e>	ns:people.person.children ?x .	ns:people.person.date_of_birth ?x .
who is the founder of the <e> church?	ns:people.person.places_lived ?y .?y ns:people.place_lived.person ?x .	ns:influence.influence_node.influenced ?y .?y ns:base.argumentmaps.innovator.original_ideas ?x .
who is the new <e>?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.category ?y .?y ns:organization.organization_committee_title.members_with_this_title ?x .
who owns <e> 2011?	ns:organization.organization.parent ?y .?y ns:organization.organization_relationship.parent ?x .	ns:business.employer.employees ?y .?y ns:business.employment_tenure.person ?x .
what character did Nelly play in the Longest Yard?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:tv.tv_actor.guest_roles ?y .?y ns:tv.tv_guest_role.character ?x .
what is the most famous actor in the <e>?	ns:award.award_nominated_work.award_nominations ?y .?y ns:award.award_nomination.award_nominee ?x .	ns:film.film.distributors ?y .?y ns:film.film_film_distributor_relationship.film ?x .
who was the 2nd prime minister of <e>?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.body_this_is_a_component_of ?x .
who were the original singers of the hit <e> melody?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.music ?y .?y ns:music.artist.track ?x .
who does nikki reed play in the <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.runtime ?y .?y ns:film.film_cut.film ?x .
who does the voice of <e> in knight rider?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.species ?y .?y ns:user.avh.default_domain.ellerdale_topic.ellerdale_id ?x .
who was <e> when dil ne jise apna kahaa was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.image ?y .?y ns:type.content.uploaded_by ?x .
what middle school did <e> attend?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:location.location.people_born_here ?x .
who was the <e> in 1945?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.governmental_body_if_any ?y .?y ns:government.governmental_body.offices_positions ?x .
when did sean murray first appear on <e>?	ns:tv.tv_program.air_date_of_first_episode ?x .	ns:tv.tv_program.seasons ?x .
who was <e> when beverly hills chihuahua was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.article ?y .?y ns:common.document.text ?x .
what middle school did <e> attend?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:location.hud_county_place.place ?x .
where did <e> live before he became president?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:people.deceased_person.place_of_death ?y .?y ns:location.hud_county_place.county ?x .
which capricorn person was the daughter of <e>	ns:people.person.children ?x .	ns:people.person.parents ?x .
who was the <e> in 1945?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_types ?y .?y ns:freebase.linguistic_hint.plural ?x .
which <e> original movies has olesya rulin starred in	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	ns:film.film_distributor.films_distributed ?y .?y ns:film.film_film_distributor_relationship.film_cut ?x .
what is the parent company of <e>?	ns:organization.organization.parent ?y .?y ns:organization.organization_relationship.parent ?x .	ns:cvg.cvg_developer.games_developed ?y .?y ns:base.wikipedia_infobox.video_game.platforms ?x .
who plays effy in <e> uk?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.multipart_episodes ?y .?y ns:tv.multipart_tv_episode.tv_program ?x .
what english films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:music.featured_artist.recordings ?y .?y ns:music.recording.featured_artists ?x .
who is the leader of the <e> 2011?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.statistical_region.gender_balance_members_of_parliament ?y .?y ns:measurement_unit.dated_percentage.source ?x .
what team does <e> play for 2013?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:basketball.basketball_player.position_s ?y .?y ns:type.object.type ?x .
who does the voice of kovu in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.distributors ?y .?y ns:film.film_film_distributor_relationship.film ?x .
who played <e> in scrubs?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:tv.tv_actor.guest_roles ?y .?y ns:tv.tv_guest_role.actor ?x .
who won 2011 <e> trophy?	ns:award.award_category.winners ?y .?y ns:award.award_honor.award_winner ?x .	ns:award.award_category.nominees ?y .?y ns:award.award_nomination.year ?x .
when was the last time the <e> won a world series?	ns:sports.sports_team.championships ?x .	ns:sports.sports_team.season_record ?x .
who is the present chief justice of the u.s. <e>?	ns:law.court.judges ?y .?y ns:law.judicial_tenure.judge ?x .	ns:law.court.legal_cases ?y .?y ns:user.rca.default_domain.us_court_decision.citation ?x .
who was <e>'s first wife?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.parents ?y .?y ns:people.person.date_of_birth ?x .
who was the prime minister of <e> in 1998?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:royalty.kingdom.rulers ?y .?y ns:royalty.monarch.kingdom ?x .
who did <e> marry first?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.parents ?y .?y ns:people.person.profession ?x .
who won 2012 presidential election in <e>?	ns:business.employer.employees ?y .?y ns:business.employment_tenure.person ?x .	ns:location.statistical_region.gender_balance_members_of_parliament ?y .?y ns:type.object.type ?x .
which tv series has <e> starred in	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:tv.tv_actor.guest_roles ?y .?y ns:tv.tv_guest_role.episodes_appeared_in ?x .
who has won the last 10 <e> championships?	ns:sports.sports_league.teams ?y .?y ns:sports.sports_league_participation.team ?x .	ns:sports.sports_league.championship ?y .?y ns:sports.sports_championship.events ?x .
who owns <e> 2012?	ns:organization.organization.founders ?x .	ns:organization.organization.child ?x .
which big screen movies has <e> starred in	ns:award.award_nominated_work.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	ns:film.film.story_by ?y .?y ns:film.film_story_contributor.film_story_credits ?x .
who did the voice of <e> in star wars?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:fictional_universe.fictional_universe.species ?x .
who was <e> president during the costa rican civil war	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:government.governmental_jurisdiction.government ?y .?y ns:government.government.government_for ?x .
who was <e> when william eggleston in the real world was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.image ?y .?y ns:type.content.uploaded_by ?x .
who does Ronaldinho play for now in 2011?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .
what national soccer team does <e> play for	ns:base.x2010fifaworldcupsouthafrica.world_cup_participant.world_cup_team ?y .?y ns:base.x2010fifaworldcupsouthafrica.current_world_cup_squad.national_team ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:sports.pro_sports_played.career_start ?x .
who played <e> on days of our lives?	ns:tv.tv_character.appeared_in_tv_episodes ?y .?y ns:tv.tv_guest_role.actor ?x .	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.seasons ?x .
what countries did germany take over during <e> 2?	ns:military.military_conflict.commanders ?y .?y ns:military.military_command.military_combatant ?x .	ns:time.event.locations ?y .?y ns:location.location.contains ?x .
who was <e> in episode 3?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.from ?x .
who plays Layla in Big Daddy?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.other_crew ?y .?y ns:film.film_crew_gig.crewmember ?x .
who is the governor of Arizona in 2009?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:fictional_universe.fictional_setting.characters_that_have_lived_here ?y .?y ns:fictional_universe.fictional_character.species ?x .
who has the most elementary schools named for him in the <e>?	ns:business.employer.employees ?y .?y ns:business.employment_tenure.person ?x .	ns:user.exooo.default_domain.head_of_state.president ?y .?y ns:business.employment_tenure.to ?x .
who is the athor of <e>?	ns:film.film.story_by ?x .	ns:common.topic.notable_types ?x .
which sagittarian person was the daughter of <e>	ns:people.person.children ?x .	ns:people.person.sibling_s ?x .
who was the <e> in 1945?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.governmental_body_if_any ?y .?y ns:common.topic.notable_types ?x .
who is the <e> quarterback 2012?	ns:sports.sports_team.roster ?y .?y ns:sports.sports_team_roster.player ?x .	ns:user.szaijan.fantasy_football.player.nfl_team ?y .?y ns:sports.sports_team.location ?x .
what is the theme of <e>	ns:book.written_work.subjects ?x .	ns:award.award_nominated_work.award_nominations ?x .
who is the present chief justice of the u.s. <e>?	ns:law.court.judges ?y .?y ns:law.judicial_tenure.judge ?x .	ns:government.governmental_body.offices_positions ?y .?y ns:law.judicial_title.judges ?x .
when did <e> won the gold medal?	ns:olympics.olympic_athlete.country ?y .?y ns:olympics.olympic_athlete_affiliation.olympics ?x .	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award ?x .
who is the leader of the <e> 2011?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.component_bodies ?x .
who was the editor of the movie <e>	ns:film.film.edited_by ?x .	ns:film.film.directed_by ?x .
who plays princess <e> in star wars?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.character_created_by ?y .?y ns:film.actor.film ?x .
who is <e> driving for now?	ns:business.sponsored_recipient.sponsorship ?y .?y ns:business.sponsorship.sponsored_by ?x .	ns:base.nascar.nascar_driver.car_owner ?y .?y ns:common.topic.notable_types ?x .
what university did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:freebase.valuenotation.has_value ?y .?y ns:type.object.type ?x .
what caused the <e> financial crisis of 1998?	ns:military.military_combatant.belongs_to_combatant_group ?x .	ns:military.military_combatant.casualties ?x .
who plays <e> in spiderman 3?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:theater.theater_character.plays_appears_in ?y .?y ns:type.object.name ?x .
who are the company directors of <e>?	ns:organization.organization.leadership ?y .?y ns:organization.leadership.person ?x .	ns:organization.organization.board_members ?y .?y ns:type.object.type ?x .
who starred in a chorus line and <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.prequel ?y .?y ns:film.film.release_date_s ?x .
who was the first actor to play <e>?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.character_created_by ?y .?y ns:people.person.date_of_birth ?x .
what did <e> won an oscar for?	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.honored_for ?x .	ns:tv.tv_producer.programs_produced ?y .?y ns:tv.tv_producer_term.program ?x .
what year was France invaded in World War 2?	ns:event.speech_topic.speeches_or_presentations_on_this_topic ?y .?y ns:event.speech_or_presentation.date ?x .	ns:military.military_conflict.casualties ?y .?y ns:military.casualties.combatant ?x .
what movie did <e> won his first oscar?	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	ns:base.saturdaynightlive.snl_fiver_timer.most_recent_appearance ?y .?y ns:tv.tv_series_episode.season ?x .
who is prime minister of <e> 2012?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.country.form_of_government ?y .?y ns:government.form_of_government.countries ?x .
who played <e> friend in terminator 2?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_employer.employees ?y .?y ns:fictional_universe.fictional_employment_tenure.employer ?x .
what has <e> starred in that martin brest directed?	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:theater.theater_director.plays_directed ?y .?y ns:theater.theater_production.producing_company ?x .
who is the richest person in sports sachin or <e>?	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award_winner ?x .	ns:base.schemastaging.person_extra.net_worth ?y .?y ns:measurement_unit.dated_money_value.valid_date ?x .
what is the second largest city in <e>?	ns:location.us_state.capital ?x .	ns:location.location.partiallycontains ?x .
who did michael jackson play in <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.directed_by ?y .?y ns:theater.theater_actor.theater_roles ?x .
which president depicted on <e> was the son of augustine washington	ns:visual_art.artwork.art_subject ?x .	ns:protected_sites.protected_site.governing_body ?x .
who is the voice of stewie griffin from <e>?	ns:tv.tv_program.program_creator ?x .	ns:tv.tv_program.number_of_episodes ?x .
where does <e> live now?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .
which tv series has <e> starred in	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:people.person.profession ?y .?y ns:fictional_universe.character_occupation.characters_with_this_occupation ?x .
what is the theme of <e>	ns:book.written_work.subjects ?x .	ns:book.book.genre ?x .
what did <e> do in the revolutionary war?	ns:military.military_commander.military_commands ?y .?y ns:military.military_command.military_conflict ?x .	ns:government.politician.party ?y .?y ns:government.political_party_tenure.party ?x .
who played <e> in knight rider?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.seasons ?x .
who was the <e> for the movie return to paradise	ns:people.profession.people_with_this_profession ?x .	ns:fictional_universe.character_occupation.characters_with_this_occupation ?x .
who is <e> from marvel super hero squads brother called?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.other_crew ?y .?y ns:film.film_crew_gig.crewmember ?x .
who was the prime minister of <e> in 1998?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:organization.organization.leadership ?x .
who did kat graham play in <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.runtime ?y .?y ns:film.film_cut.runtime ?x .
who are the company directors of <e>?	ns:organization.organization.board_members ?y .?y ns:organization.organization_board_membership.member ?x .	ns:organization.organization.place_founded ?y .?y ns:location.location.people_born_here ?x .
what did randy jackson play in <e>?	ns:music.musical_group.member ?y .?y ns:music.group_membership.role ?x .	ns:music.artist.concert_tours ?y .?y ns:type.object.name ?x .
who plays saruman in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.release_date_s ?y .?y ns:film.film_regional_release_date.film_release_region ?x .
which member of royalty was the son of <e> of denmark	ns:people.person.sibling_s ?y .?y ns:people.sibling_relationship.sibling ?x .	ns:royalty.noble_person.titles ?y .?y ns:royalty.noble_title_tenure.noble_title ?x .
who does <e> play for in the nba?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.ftm ?x .
who does the <e> export the most to?	ns:location.statistical_region.places_imported_from ?y .?y ns:location.imports_and_exports.imported_from ?x .	ns:base.seafood.fishery_location.fisheries ?y .?y ns:base.seafood.fishery.location ?x .
what high school did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:location.hud_county_place.county ?x .
what countries did germany take over during <e> 2?	ns:military.military_conflict.commanders ?y .?y ns:military.military_command.military_combatant ?x .	ns:military.military_conflict.combatants ?y .?y ns:type.object.type ?x .
who is the current leader of <e> and what is their title?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:royalty.system_of_nobility.titles ?y .?y ns:royalty.system_title_relationship.to_date ?x .
which building or building complex did <e> attend	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.places_lived ?y .?y ns:type.object.type ?x .
who did <e> marry first?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.children ?y .?y ns:people.person.parents ?x .
which member of royalty was the son of <e> of denmark	ns:people.person.sibling_s ?y .?y ns:people.sibling_relationship.sibling ?x .	ns:people.person.parents ?y .?y ns:people.person.children ?x .
which <e> original movies has olesya rulin starred in	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	ns:broadcast.producer.produces ?y .?y ns:film.film.sequel ?x .
what character did <e> play on 90210?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:film.actor.film ?y .?y ns:type.object.type ?x .
who owns <e> 2012?	ns:organization.organization.leadership ?y .?y ns:organization.leadership.person ?x .	ns:organization.organization.legal_structure ?y .?y ns:common.topic.notable_types ?x .
when does school start in <e> 2011?	ns:travel.travel_destination.climate ?y .?y ns:travel.travel_destination_monthly_climate.month ?x .	ns:periodicals.newspaper_circulation_area.newspapers ?y .?y ns:book.periodical.final_issue_date ?x .
what team did <e> play for first?	ns:base.daylifetopics.daylife_id.daylife_topic_name ?x .	ns:sports.sports_team.roster ?x .
what state is <e> senator for?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.district_represented ?x .	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.office_holder ?x .
which research centre did <e> attend	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.gender ?y .?y ns:award.award_discipline.awards_in_this_discipline ?x .
who played carl fredricksen in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.runtime ?y .?y ns:film.film_cut.film ?x .
who did <e> play in eclipse?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:film.producer.film ?y .?y ns:film.film.cinematography ?x .
when was <e> of zanzibar born?	ns:people.person.date_of_birth ?x .	ns:common.topic.image ?x .
what team does <e> play for 2013?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.games ?x .
what years the <e> won the super bowl?	ns:sports.sports_team.championships ?x .	ns:sports.sports_team.founded ?x .
who does <e> play for 2012?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.to ?x .
what countries did germany take over during <e> 2?	ns:military.military_conflict.commanders ?y .?y ns:military.military_command.military_combatant ?x .	ns:military.military_conflict.casualties ?y .?y ns:military.casualties.combatant ?x .
what kind of government does the <e> have today?	ns:location.country.form_of_government ?x .	ns:government.governmental_jurisdiction.government_positions ?x .
who was the first host of <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.recurring_writers ?y .?y ns:tv.tv_program_writer_relationship.tv_program ?x .
who is the leader of <e> right now?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.country.form_of_government ?y .?y ns:government.form_of_government.countries ?x .
who is the highest paid <e>?	ns:base.articleindices.article_category.articles_in_this_category ?y .?y ns:base.articleindices.index_item.topic ?x .	ns:people.profession.corresponding_type ?y .?y ns:type.type.domain ?x .
what countries did <e> reign over?	ns:people.person.nationality ?x .	ns:royalty.monarch.royal_line ?x .
what team does <e> play for 2012?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.team ?x .
who was the author of the poem <e>?	ns:book.written_work.author ?x .	ns:kg.object_profile.prominent_type ?x .
which state was <e> born in?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:people.person.nationality ?y .?y ns:tv.tv_location.tv_episodes_filmed_here ?x .
which research centre did <e> attend	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.gender ?y .?y ns:base.gender.gender_identity.people ?x .
who plays <e> in twilight?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.powers_or_abilities ?y .?y ns:film.film_subject.films ?x .
what is the name of <e>'s first novel?	ns:book.author.works_written ?x .	ns:tv.tv_writer.episodes_written ?x .
what characters does Tom Hanks play in Polar Express?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.country ?y .?y ns:common.topic.alias ?x .
who does <e> play in 24?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:people.person.profession ?y .?y ns:common.topic.alias ?x .
what did Abraham Lincoln do in the Civil War?	ns:people.person.employment_history ?y .?y ns:business.employment_tenure.title ?x .	ns:book.author.works_written ?y .?y ns:book.written_work.editor ?x .
what contribution did <e> make to dna?	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award ?x .	ns:influence.influence_node.influenced_by ?y .?y ns:common.topic.notable_types ?x .
who portrayed <e> in raiders of the lost ark?	ns:tv.tv_character.appeared_in_tv_episodes ?y .?y ns:tv.tv_guest_role.actor ?x .	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.character_note ?x .
where did lee surrender to <e> to end the civil war?	ns:military.military_combatant.military_conflicts ?y .?y ns:military.military_combatant_group.conflict ?x .	ns:people.deceased_person.place_of_death ?y .?y ns:kg.object_profile.prominent_type ?x .
which book did <e> write in 2007	ns:book.author.book_editions_published ?x .	ns:book.author.openlibrary_id ?x .
who was <e>'s mother?	ns:people.person.parents ?x .	ns:people.person.place_of_birth ?x .
when was the last time <e> invaded another country?	ns:military.military_combatant.force_deployments ?y .?y ns:military.force_strength.military_conflict ?x .	ns:base.schemastaging.disputed_location_claimant.disputed_territories ?y .?y ns:geography.river.mouth ?x .
who plays lois lane in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.language ?y .?y ns:base.rosetta.languoid.languoid_class ?x .
what team does <e> play for 2012?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.date ?x .
who has gone out with <e>	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.children ?y .?y ns:people.person.sibling_s ?x .
when did sean murray first appear on <e>?	ns:tv.tv_program.air_date_of_first_episode ?x .	ns:tv.tv_program.episode_running_time ?x .
what is the <e> in dubai called?	ns:architecture.structure.owner ?y .?y ns:architecture.ownership.structure ?x .	ns:location.location.containedby ?y .?y ns:location.location.partiallycontains ?x .
who helped china in <e>?	ns:military.military_conflict.casualties ?y .?y ns:military.casualties.combatant ?x .	ns:time.event.included_in_event ?y .?y ns:time.event.includes_event ?x .
what film <e> starred in that rob marshall directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.notes_description ?x .
what year did yankees win their first <e>?	ns:time.recurring_event.instances ?x .	ns:time.recurring_event.date_of_first_occurance ?x .
who are the current <e> senators?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.location.contains ?y .?y ns:business.employer.employees ?x .
who is the owner of <e> technology company?	ns:organization.organization.leadership ?y .?y ns:organization.leadership.person ?x .	ns:business.employer.number_of_employees ?y .?y ns:measurement_unit.dated_integer.year ?x .
what money do they use in Spain before 2002?	ns:location.country.currency_formerly_used ?x .	ns:location.statistical_region.diesel_price_liter ?x .
who plays ethan on <e> soap opera?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.episodes ?y .?y ns:tv.tv_series_episode.previous_episode ?x .
who did <e> surrender to in ww2?	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_commander ?x .	ns:location.statistical_region.places_exported_to ?y .?y ns:location.imports_and_exports.imported_from ?x .
which harry potter movies has <e> starred in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.to ?x .
who succeeded william mckinley as <e>?	ns:business.job_title.people_with_this_title ?y .?y ns:business.employment_tenure.person ?x .	ns:government.government_office_category.officeholders ?y .?y ns:government.government_position_held.district_represented ?x .
who is the <e> currently?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.governmental_body_if_any ?y .?y ns:government.governmental_body.offices_positions ?x .
who is the present president of <e>?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.statistical_region.gender_balance_members_of_parliament ?y .?y ns:measurement_unit.dated_percentage.rate ?x .
who is <e> dating now in 2012?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:tv.tv_personality.tv_regular_appearances ?y .?y ns:tv.tv_regular_personal_appearance.person ?x .
who did ben stiller play in <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.other_crew ?y .?y ns:film.film_crew_gig.crewmember ?x .
who won the governor election in <e>?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:government.government_agency.jurisdiction ?x .
what year did <e> play for the clippers?	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.season ?x .	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.from ?x .
where does <e> play now?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .
who was <e> president when alan rickman was born?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:fictional_universe.fictional_setting.fictional_characters_born_here ?y .?y ns:film.film_character.portrayed_in_films ?x .
when did sean murray first appear on <e>?	ns:tv.tv_program.air_date_of_first_episode ?x .	ns:tv.tv_program.episodes ?x .
who plays <e> in the looney tunes show?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.romantically_involved_with ?y .?y ns:fictional_universe.romantic_involvement.partner ?x .
